name,type,start_time,duration,"value"
"SMBus","v1frame",4.1557605,0.000604875,"Write address \x0B ACK Protocol=Read word"
"SMBus","v1frame",4.15638275,0.000621125,"Command z"
"SMBus","v1frame",4.157101125,0.000637,"Read address \x0B ACK Protocol=Read word"
"SMBus","v1frame",4.157738125,0.001228,"Word @ ACK"
"SMBus","v1frame",4.158966125,0.0005855,"PEC \xA4 OK"
"SMBus","v1frame",4.15958725,0.0000505,""
"SMBus","v1frame",4.359762,0.0000045,""
"SMBus","v1frame",4.3597775,0.000605125,"Write address \x0B ACK Protocol=Block write"
"SMBus","v1frame",4.360382625,0.0006315,"Command \xA4"
"SMBus","v1frame",4.36111075,0.00063775,"Read address \x0B ACK Protocol=Block write"
"SMBus","v1frame",4.3617485,0.000585375,"Byte count \x04"
"SMBus","v1frame",4.362333875,0.00062275,"Byte \0 ACK"
"SMBus","v1frame",4.362956625,0.000614,"Byte \0 ACK"
"SMBus","v1frame",4.363570625,0.000636125,"Byte \x01 ACK"
"SMBus","v1frame",4.36420675,0.000621875,"Byte \xAB ACK"
"SMBus","v1frame",4.364828625,0.00059175,"PEC \x80 OK"
"SMBus","v1frame",4.365456,0.00005025,""
"SMBus","v1frame",4.36562825,0.0000045,""
"SMBus","v1frame",4.36564375,0.000614,"Write address \x0B ACK Protocol=Read word"
"SMBus","v1frame",4.366274875,0.00062125,"Command z"
"SMBus","v1frame",4.366993375,0.000628125,"Read address \x0B ACK Protocol=Read word"
"SMBus","v1frame",4.3676215,0.001230625,"Word @ ACK"
"SMBus","v1frame",4.368852125,0.00059175,"PEC \xA4 OK"
"SMBus","v1frame",4.369479625,0.00005025,""
"SMBus","v1frame",4.56975575,0.00000425,""
"SMBus","v1frame",4.569771,0.00060525,"Write address \x0B ACK Protocol=Block write"
"SMBus","v1frame",4.57037625,0.000631375,"Command \xA4"
"SMBus","v1frame",4.571104375,0.000637625,"Read address \x0B ACK Protocol=Block write"
"SMBus","v1frame",4.571742,0.000585375,"Byte count \x04"
"SMBus","v1frame",4.572327375,0.00062275,"Byte \0 ACK"
"SMBus","v1frame",4.572950125,0.000614,"Byte \0 ACK"
"SMBus","v1frame",4.573564125,0.000636125,"Byte \x01 ACK"
"SMBus","v1frame",4.57420025,0.000621875,"Byte \xAB ACK"
"SMBus","v1frame",4.574822125,0.00059175,"PEC \x80 OK"
"SMBus","v1frame",4.5754495,0.0000505,""
"SMBus","v1frame",4.57562175,0.0000045,""
"SMBus","v1frame",4.57563725,0.000613875,"Write address \x0B ACK Protocol=Read word"
"SMBus","v1frame",4.576268375,0.00062125,"Command z"
"SMBus","v1frame",4.57698675,0.000628375,"Read address \x0B ACK Protocol=Read word"
"SMBus","v1frame",4.577615125,0.0012305,"Word @ ACK"
"SMBus","v1frame",4.578845625,0.00059175,"PEC \xA4 OK"
"SMBus","v1frame",4.579473,0.00005025,""
"SMBus","v1frame",4.77992325,0.0000045,""
"SMBus","v1frame",4.77993875,0.000605125,"Write address \x0B ACK Protocol=Block write"
"SMBus","v1frame",4.780543875,0.0006315,"Command \xA4"
"SMBus","v1frame",4.781272125,0.00064,"Read address \x0B ACK Protocol=Block write"
"SMBus","v1frame",4.781912125,0.000582875,"Byte count \x04"
"SMBus","v1frame",4.782495,0.000622875,"Byte \0 ACK"
"SMBus","v1frame",4.783117875,0.00062275,"Byte \0 ACK"
"SMBus","v1frame",4.783740625,0.000627375,"Byte \x01 ACK"
"SMBus","v1frame",4.784368,0.000621875,"Byte \xAB ACK"
"SMBus","v1frame",4.784989875,0.000591875,"PEC \x80 OK"
"SMBus","v1frame",4.785617375,0.00005,""
"SMBus","v1frame",4.7857985,0.00000425,""
"SMBus","v1frame",4.78581375,0.00060525,"Write address \x0B ACK Protocol=Read word"
"SMBus","v1frame",4.786436125,0.00062125,"Command z"
"SMBus","v1frame",4.7871545,0.0006395,"Read address \x0B ACK Protocol=Read word"
"SMBus","v1frame",4.787794,0.0012055,"Word \x01\xC0 ACK"
"SMBus","v1frame",4.7889995,0.00060475,"PEC 8 OK"
"SMBus","v1frame",4.789639875,0.00005025,""
"SMBus","v1frame",4.789735,0.0000045,""
"SMBus","v1frame",4.7897505,0.000605125,"Write address \x0B ACK Protocol=Read word"
"SMBus","v1frame",4.790355625,0.000635875,"Command \x8B"
"SMBus","v1frame",4.791088375,0.000847625,"Read address \x0B ACK Protocol=Read word"
"SMBus","v1frame",4.791936,0.001445875,"Word p' ACK"
"SMBus","v1frame",4.793381875,0.00061425,"PEC ! OK"
"SMBus","v1frame",4.79403175,0.00005025,""
"SMBus","v1frame",7.215658875,0.0000045,""
"SMBus","v1frame",7.215674375,0.000605125,"Write address \x0B ACK Protocol=Process call"
"SMBus","v1frame",7.2162795,0.000641875,"Command \xD1"
"SMBus","v1frame",7.21694625,0.00060675,"Byte count \x04"
"SMBus","v1frame",7.217553,0.000647375,"Byte \xFF ACK"
"SMBus","v1frame",7.218200375,0.000657125,"Byte \xFF ACK"
"SMBus","v1frame",7.2188575,0.0006535,"Byte \xFE ACK"
"SMBus","v1frame",7.219511,0.00063775,"Byte \xE6 ACK"
"SMBus","v1frame",7.220168375,0.000615,"PEC 9 OK"
"SMBus","v1frame",7.22082575,0.00004875,""
"SMBus","v1frame",7.325540125,0.0000045,""
"SMBus","v1frame",7.325555625,0.000605125,"Write address \x0B ACK Protocol=Block write"
"SMBus","v1frame",7.32616075,0.000631375,"Command \xA4"
"SMBus","v1frame",7.326888875,0.000637375,"Read address \x0B ACK Protocol=Block write"
"SMBus","v1frame",7.32752625,0.000585625,"Byte count \x04"
"SMBus","v1frame",7.328111875,0.00062275,"Byte \0 ACK"
"SMBus","v1frame",7.328734625,0.0006185,"Byte \0 ACK"
"SMBus","v1frame",7.329353125,0.000631625,"Byte \x01 ACK"
